id,name,description,ruling,reason,variations
boric-acid,Boric Acid,"A chemical compound used as an antiseptic, insecticide, flame retardant, and a precursor to other chemical compounds. It is not typically used as a direct food ingredient.",uncertain,"Boric acid is not typically used in food. If it is used, the ruling would depend on the specific application and any potential contaminants. Further investigation is needed to determine its halal status in a specific food product.",['boric acid']
blood-plasma,Blood Plasma,"The liquid component of blood, used in some food products as a protein source or binding agent.",haram,Blood and its derivatives are considered haram in Islam.,"['blood plasma', 'plasma protein']"
bone-phosphate,Bone Phosphate,"A calcium phosphate derived from animal bones, used as a source of calcium and phosphorus in some food products.",uncertain,"The halal status depends on the source animal and the method of slaughter. If the animal was not halal-slaughtered, it is considered haram. If it is confirmed that the source is halal, then it is halal.","['bone phosphate', 'calcium phosphate (bone derived)']"
brilliant-black-pn,Brilliant Black PN,A synthetic black food coloring.,uncertain,The halal status of synthetic food colorings like Brilliant Black PN (E151) is uncertain due to potential non-halal processing aids or ingredients used in its manufacture. Further investigation into the specific manufacturing process is needed to determine its halal status.,"['brilliant black pn', 'e151', 'black pn', 'food black 1', 'ci food black 1', 'c.i. 28440']"
bromelain,Bromelain,"A group of enzymes extracted from the stems, fruit, and juice of the pineapple plant.",halal,"Bromelain is derived from pineapple, which is a plant source. Enzymes from plant sources are generally considered halal unless processed with haram substances.",['bromelain']
bovine-gelatin,Bovine Gelatin,Gelatin derived from bovine (cattle) sources.,uncertain,"The halal status of bovine gelatin depends on whether the animal was slaughtered according to Islamic guidelines. If the cattle were slaughtered according to Islamic guidelines, then the gelatin is halal. Otherwise, it is haram.","['bovine gelatin', 'gelatin from cattle', 'beef gelatin']"
brazzein,Brazzein,A low-calorie sweetener protein extracted from the West African fruit of the climbing plant Pentadiplandra brazzeana.,halal,Brazzein is a protein derived from a plant source. Plant-derived ingredients are generally considered halal unless processed with haram substances.,['brazzein']
breadfruit-flour,Breadfruit Flour,Flour made from dried and ground breadfruit.,halal,"Breadfruit flour is derived from breadfruit, which is a plant source. Plant-derived ingredients are generally considered halal unless processed with haram substances.",['breadfruit flour']
bubblegum-flavor,Bubblegum Flavor,Artificial or natural flavor designed to mimic the taste of bubblegum.,uncertain,"The halal status depends on the ingredients and production methods used to create the flavor. If the flavor contains alcohol or is extracted using non-halal processes, it would be considered haram. Without specific information on the source and processing, it is uncertain.","['bubblegum flavor', 'bubble gum flavor']"
brown-rice-flour,Brown Rice Flour,Flour made from ground brown rice.,halal,"Brown rice flour is derived from brown rice, which is inherently halal. The milling process does not introduce any haram substances.",['brown rice flour']
brown-ht,Brown HT,A synthetic brown food coloring.,uncertain,"The halal status of Brown HT depends on the manufacturing process and the substances used in it. Some synthetic food colorings may use animal-derived products or alcohol in their production. Without detailed information, its halal status is uncertain.","['brown ht', 'e155', 'food brown 3', 'chocolate brown ht']"
bulking-sweetener,Bulking Sweetener,A type of sweetener used to add volume and sweetness to food products.,uncertain,"The halal status depends on the specific type of sweetener used as a bulking agent. Some sweeteners are halal, while others may be processed using haram substances or derived from non-halal sources.",['bulking sweetener']
brown-rice-syrup,Brown Rice Syrup,A sweetener derived from brown rice.,halal,"Brown rice syrup is made from brown rice, which is halal. The process of converting rice starch into syrup does not typically involve any haram substances.","['brown rice syrup', 'rice syrup']"
butane,Butane,A flammable hydrocarbon gas.,uncertain,"Butane itself is not typically ingested as a food ingredient. However, if it is used as a propellant or in the processing of food, the halal status would depend on whether it comes into direct contact with the food and whether it introduces any impurities. If it's used as a propellant and doesn't contaminate the food, it is permissible. Otherwise, it is uncertain.",['butane']
brown-sugar,Brown Sugar,"A type of sugar with molasses content, giving it a brown color and distinctive flavor.",halal,Brown sugar is typically made from refined white sugar with the addition of molasses. Both sugar and molasses are considered halal.,['brown sugar']
bulking-agent,Bulking Agent,A substance added to food to increase its volume or weight without significantly affecting its nutritional value.,uncertain,"The halal status depends on the source and nature of the bulking agent. Some bulking agents are halal (e.g., cellulose from plant sources), while others may be of animal origin or processed using haram substances.","['bulking agent', 'bulking agents']"
butterfat,Butterfat,"The naturally occurring fat in milk, which gives butter its rich flavor and texture.",halal,"Butterfat is derived from milk, which is considered halal. The process of separating the fat from the milk does not introduce any haram substances.","['butterfat', 'milkfat', 'anhydrous milkfat', 'clarified butter']"
buttermilk-powder,Buttermilk Powder,"A dried form of buttermilk, often used in baking and as a flavoring agent.",halal,Buttermilk is a byproduct of butter production and is considered halal. The drying process does not introduce any haram substances.,"['buttermilk powder', 'dried buttermilk', 'buttermilk solids']"
butterscotch-flavor,Butterscotch Flavor,"A flavoring that mimics the taste of butterscotch candy, often used in desserts and baked goods.",uncertain,"The halal status depends on the ingredients used to create the flavor. If the flavor contains alcohol or non-halal animal products, it would be haram. Otherwise, it is halal.","['butterscotch flavor', 'butterscotch flavour', 'artificial butterscotch flavor', 'natural butterscotch flavor']"
cactus-flour,Cactus Flour,"Flour made from dried and ground cactus, used in some traditional cuisines.",halal,Cactus is a plant-based ingredient and is considered halal. The process of making flour from cactus does not introduce any haram substances.,"['cactus flour', 'nopal flour', 'cactus powder']"
calcium-benzoate,Calcium Benzoate,A preservative used in food products.,halal,"Calcium benzoate is a salt of benzoic acid and calcium. Benzoic acid is commonly synthesized, and calcium is a mineral. Therefore, it is halal.","['calcium benzoate', 'E213']"
calcium-caseinate,Calcium Caseinate,"A protein derived from milk, used in various food products.",uncertain,"Casein is a protein derived from milk. If the enzymes used in the production of calcium caseinate are from non-halal animal sources, it would be haram. Otherwise, it is halal.",['calcium caseinate']
cake-flour,Cake Flour,"A finely milled flour made from soft wheat, used for baking cakes and pastries.",halal,Flour is halal as it is derived from wheat.,['cake flour']
calcium-ascorbate,Calcium Ascorbate,"A form of vitamin C (ascorbic acid) combined with calcium, used as a food additive and antioxidant.",halal,"Calcium ascorbate is a salt of ascorbic acid (vitamin C) and calcium. Ascorbic acid can be derived from plant-based sources or produced synthetically, and calcium is a mineral. Therefore, it is halal.","['calcium ascorbate', 'E302']"
